"Time (sec)","Elevation (deg)","Azimuth (deg)","Aspect Angle (deg)","Range (m)","Range Rate (m/s)"
179,24.747902,-105.18355,136.30707,477376.93704,2752.34915112
180,24.853703,-105.78933,137.05786,480149.85504,2794.2556764
181,24.954834,-106.38904,137.78023,482965.01832,2835.31019424
182,25.051466,-106.98271,138.46729,485820.35424,2875.53117552
183,25.143661,-107.57022,139.15046,488715.43608,2914.92102816
184,25.231495,-108.15164,139.82929,491649.80664,2953.49685144
185,25.315073,-108.72689,140.48426,494622.46008,2991.2648328
186,25.394528,-109.29597,141.1224,497631.90288,3028.23826152
187,25.469873,-109.85881,141.75429,500678.68368,3064.4262816
188,25.541282,-110.41548,142.37552,503760.76032,3099.8446512
189,25.608802,-110.96596,142.96584,506878.04136,3134.5040688
190,25.672539,-111.51021,143.50873,510029.67336,3168.4139832
190.60001,25.709034,-111.83382,143.82316,511936.25832,3188.4082536
191,25.732609,-112.04831,144.03161,513214.40664,3201.5911584
192,25.789041,-112.58016,144.53691,516432.60696,3234.039252
193,25.841993,-113.10588,145.02882,519682.44552,3265.7783808
194,25.891513,-113.62546,145.51002,522963.86136,3296.8186032
195,25.937704,-114.13888,145.97845,526275.97056,3327.167844
196,25.980678,-114.64624,146.43692,529617.70632,3356.8453056
197,26.020453,-115.14747,146.89014,532989.40392,3385.8561696
198,26.057183,-115.6427,147.32953,536389.38696,3414.2193336
199,26.090923,-116.1319,147.7606,539817.47256,3441.9430272
200,26.121746,-116.61514,148.1866,543273.14256,3469.0409664
201,26.149743,-117.09243,148.60754,546755.63496,3495.5232096
202,26.175021,-117.56387,149.02263,550263.88296,3521.4056064
203,26.197622,-118.02947,149.42784,553797.88656,3546.6973008
204,26.217633,-118.48925,149.82807,557356.91424,3571.4092656
205,26.235117,-118.94328,150.22031,560940.5088,3595.5536928
206,26.250154,-119.39161,150.60515,564548.06064,3619.1424696
207,26.262845,-119.83433,150.9852,568178.53344,3642.1896168
208,26.273195,-120.27141,151.36043,571832.44536,3664.7012304
209,26.281344,-120.70297,151.72732,575508.02856,3686.6919408
210,26.287318,-121.12906,152.0897,579205.61832,3708.1733304
211,26.291224,-121.54974,152.44751,582923.84304,3729.1554576
212,26.29305,-121.96502,152.79402,586663.55616,3749.6462472
213,26.292928,-122.37503,153.13179,590423.0508,3769.6603296
214,26.290858,-122.77972,153.46518,594202.96704,3789.2028864
215,26.286958,-123.17926,153.79433,598001.71992,3808.2891576
216,26.281284,-123.57373,154.11932,601819.00464,3826.9298112
217,26.273841,-123.96304,154.44011,605655.18696,3845.1275904
218,26.264703,-124.34735,154.75681,609509.50488,3862.8968208
218.60001,26.258458,-124.57561,154.94495,611830.13016,3873.358776
219,26.253952,-124.72677,155.06953,613381.044,3880.24878
220,26.241617,-125.10128,155.37825,617269.74336,3897.1898688
220.60001,26.233493,-125.32367,155.5616,619610.82072,3907.161096
221,26.22775,-125.47096,155.68303,621175.26768,3913.7286216
222,26.21242,-125.83592,155.98395,625096.73304,3929.87784
223,26.195617,-126.19613,156.28096,629034.81,3945.6411816
224,26.177455,-126.55173,156.57417,632988.00504,3961.0305336
225,26.15792,-126.90269,156.86352,636956.89728,3976.0501632
226,26.137099,-127.24919,157.14465,640940.35896,3990.714396
227,26.115047,-127.59127,157.41445,644937.84144,4005.0299376
228,26.091743,-127.9289,157.68072,648950.04576,4019.0004456
229,26.067284,-128.26225,157.94357,652975.69176,4032.6390264
230,26.041654,-128.59126,158.20296,657015.38904,4045.9478136
230.60001,26.025765,-128.78667,158.35702,659445.1632,4053.780564
231,26.014951,-128.91609,158.45904,661067.73552,4058.9380848
232,25.987171,-129.23677,158.71183,665133.12744,4071.6165456
233,25.958358,-129.55335,158.96136,669211.1076,4083.989292
234,25.928576,-129.86591,159.2077,673300.79208,4096.0648584
235,25.897795,-130.17446,159.45083,677403.0648,4107.8469024
236,25.866109,-130.47912,159.69086,681516.58464,4119.3451776
237,25.833519,-130.77991,159.92776,685641.504,4130.5648656
238,25.800055,-131.07688,160.16157,689777.57904,4141.5114528
239,25.765744,-131.3701,160.39233,693924.62688,4152.1922544
240,25.730643,-131.65966,160.62009,698081.7636,4162.6142808
241,25.694758,-131.94557,160.84481,702249.26352,4172.7814944
242,25.658084,-132.22784,161.06649,706427.43144,4182.6981624
243,25.620698,-132.5066,161.28519,710614.95672,4192.3734288
244,25.582601,-132.78189,161.4977,714812.17464,4201.811256
245,25.543842,-133.05377,161.7043,719018.23176,4211.0183496
246,25.504394,-133.32223,161.90808,723233.98152,4219.9962336
247,25.464334,-133.58739,162.10914,727458.14376,4228.754052
248,25.423647,-133.84928,162.30746,731691.20616,4237.2954624
249,25.382349,-134.10787,162.50296,735932.98584,4245.621684
250,25.340511,-134.36338,162.6913,740182.35504,4253.744604
251,25.298103,-134.61569,162.86927,744440.1672,4261.6626984
252,25.255147,-134.86492,163.04487,748705.9956,4269.3832824
253,25.2117,-135.11114,163.21813,752978.95632,4276.9112328
254,25.167754,-135.35436,163.38905,757259.47608,4284.2495976
255,25.123321,-135.59463,163.55766,761547.28056,4291.4023392
256,25.078425,-135.83199,163.724,765842.21736,4298.3743344
257,25.033079,-136.06648,163.8867,770144.13408,4305.168936
258,24.987299,-136.29815,164.04661,774452.7564,4311.7901064
259,24.941121,-136.52708,164.20429,778767.56616,4318.2436368
260,24.894542,-136.75327,164.35976,783088.77672,4324.5307464
261,24.847547,-136.97673,164.51297,787416.8148,4330.654788
262,24.800199,-137.19757,164.66398,791750.49168,4336.6221624
263,24.75251,-137.41585,164.8128,796089.65496,4342.4356128
264,24.704456,-137.63149,164.95935,800435.00568,4348.0957488
265,24.656062,-137.84461,165.10365,804786.11712,4353.607752
266,24.607359,-138.05528,165.24576,809142.37968,4358.9764992
267,24.558353,-138.26347,165.38559,813503.79336,4364.2026
268,24.509035,-138.46925,165.52316,817870.63248,4369.2903216
269,24.459432,-138.67264,165.65844,822242.47032,4374.2421024
270,24.409554,-138.87366,165.79141,826619.18496,4379.0606856
271,24.359422,-139.07243,165.92207,831000.34968,4383.7503384
272,24.309011,-139.26886,166.05037,835386.66552,4388.3119752
273,24.258375,-139.46309,166.17632,839777.0352,4392.7498632
274,24.207496,-139.6551,166.29987,844171.88544,4397.066136
275,24.156385,-139.84494,166.42098,848571.09432,4401.2629272
276,24.10505,-140.03263,166.53963,852974.47896,4405.3432848
277,24.053503,-140.2182,166.6558,857382.00888,4409.3093424
278,24.001771,-140.40172,166.76947,861792.95256,4413.1647576
279,23.94982,-140.58315,166.88052,866208.31584,4416.9092256
280,23.897703,-140.76259,166.98903,870626.91,4420.547928
281,23.845397,-140.94005,167.09489,875049.28368,4424.082084
282,23.792921,-141.11553,167.19805,879475.01016,4427.5132176
283,23.740272,-141.28908,167.2985,883904.3028,4430.8437672
284,23.687479,-141.46077,167.39542,888336.552,4434.0773904
285,23.634517,-141.63053,167.4892,892772.39784,4437.2131728
286,23.581424,-141.79847,167.58066,897210.9564,4440.2559912
287,23.528188,-141.9646,167.66973,901652.53248,4443.2058456
288,23.474796,-142.12888,167.75635,906097.5528,4446.0645648
289,23.421306,-142.29147,167.84061,910544.61528,4448.8370256
290,23.367672,-142.45228,167.92233,914994.9696,4451.521704
291,23.313921,-142.61136,168.00185,919447.9452,4454.1210384
292,23.260072,-142.76879,168.07932,923903.0544,4456.6383816
293,23.206095,-142.9245,168.15464,928361.18112,4459.0734288
294,23.15203,-143.0786,168.22789,932821.28904,4461.429228
295,23.097863,-143.23108,168.299,937283.80488,4463.7069984
296,23.043598,-143.38196,168.36797,941748.69816,4465.908264
297,22.989245,-143.53125,168.43478,946215.69456,4468.034244
298,22.934801,-143.67899,168.49941,950684.88552,4470.0867672
299,22.880289,-143.82523,168.5619,955155.81384,4472.0685768
300,22.825686,-143.96992,168.62214,959628.99768,4473.9781488
301,22.771014,-144.11316,168.68018,964103.91888,4475.8200552
302,22.716277,-144.25493,168.73599,968580.54696,4477.594296
303,22.66147,-144.39524,168.78953,973059.00384,4479.3017856
304,22.606597,-144.53413,168.84081,977539.19808,4480.9443528
305,22.551668,-144.67159,168.89484,982020.88584,4482.5226072
306,22.496687,-144.80772,168.94877,986503.97568,4484.0399016
307,22.441639,-144.94243,169.00111,990988.95528,4485.4950168
308,22.386552,-145.07583,169.0519,995475.03216,4486.890696
309,22.331416,-145.20789,169.10114,999962.51112,4488.2275488
310,22.276234,-145.33864,169.14882,1004451.30072,4489.5067944
311,22.221004,-145.46809,169.19495,1008941.55336,4490.7293472
312,22.165738,-145.59625,169.23953,1013432.81184,4491.8964264
313,22.110432,-145.72316,169.28257,1017925.41144,4493.0092512
314,22.055089,-145.84882,169.32409,1022419.10832,4494.068736
315,21.999721,-145.97329,169.36411,1026913.59768,4495.0773192
316,21.944324,-146.09655,169.40262,1031409.0624,4496.0343912
317,21.888899,-146.21861,169.4396,1035905.44152,4496.9408664
318,21.833445,-146.33949,169.47508,1040402.82648,4497.7982688
319,21.777969,-146.45921,169.50905,1044901.06488,4498.6075128
320,21.722466,-146.57778,169.54153,1049400.15672,4499.3695128
321,21.666944,-146.69521,169.5725,1053899.9496,4500.0845736
322,21.611413,-146.81156,169.60203,1058400.23016,4500.7554384
323,21.555855,-146.92677,169.63005,1062901.39464,4501.3805832
324,21.500286,-147.04094,169.65663,1067403.10776,4501.963056
325,21.444712,-147.15402,169.68173,1071905.15616,4502.5022472
326,21.38912,-147.26604,169.7054,1076407.96656,4502.999376
327,21.333518,-147.37702,169.72759,1080911.14272,4503.4553568
328,21.277907,-147.48696,169.74835,1085414.83704,4503.8704944
329,21.222283,-147.59589,169.76768,1089919.20192,4504.246008
330,21.166672,-147.70384,169.78561,1094423.262,4504.5834216
331,21.111038,-147.81076,169.80209,1098928.23648,4504.881516
332,21.055412,-147.91674,169.8172,1103433.18048,4505.1433392
333,20.999783,-148.02175,169.8309,1107938.3988,4505.3682816
334,20.944151,-148.1258,169.84323,1112443.86096,4505.5569528
335,20.888526,-148.22891,169.85417,1116949.38408,4505.7099624
336,20.832896,-148.33108,169.86375,1121455.212,4505.8282248
337,20.777269,-148.43234,169.87198,1125961.16184,4505.9126544
338,20.721641,-148.53269,169.87888,1130467.386,4505.963556
339,20.666032,-148.63218,169.88448,1134973.12248,4505.9824536
340,20.610425,-148.73078,169.88877,1139479.01136,4505.9693472
341,20.554815,-148.82847,169.89172,1143985.23552,4505.9236272
